Ensembl.ID,Gene.name
ENSG00000007168.13_4,PAFAH1B1
ENSG00000007171.18_7,NOS2
ENSG00000007174.18_5,DNAH9
ENSG00000007202.15_6,KIAA0100
ENSG00000007216.14_5,SLC13A2
ENSG00000007237.18_7,GAS7
ENSG00000007255.10_3,TRAPPC6A
ENSG00000007264.15_6,MATK
ENSG00000007306.15_4,CEACAM7
ENSG00000007312.12_5,CD79B
ENSG00000007314.12_4,SCN4A
ENSG00000007341.19_5,ST7L
ENSG00000007350.17_7,TKTL1
ENSG00000007372.23_8,PAX6
ENSG00000007376.8_5,RPUSD1
ENSG00000007384.15_5,RHBDF1
ENSG00000007392.16_6,LUC7L
ENSG00000007402.11_4,CACNA2D2
ENSG00000007516.13_5,BAIAP3
ENSG00000007520.4_4,TSR3
ENSG00000007541.16_4,PIGQ
ENSG00000007545.16_4,CRAMP1
ENSG00000007866.21_10,TEAD3
ENSG00000007908.16_6,SELE
ENSG00000007923.16_5,DNAJC11
ENSG00000007933.13_4,FMO3
ENSG00000007944.15_3,MYLIP
ENSG00000007952.18_5,NOX1
ENSG00000007968.7_4,E2F2
ENSG00000008018.9_4,PSMB1
ENSG00000008056.14_6,SYN1
ENSG00000008083.14_3,JARID2
ENSG00000008086.13_5,CDKL5
ENSG00000008118.10_4,CAMK1G
ENSG00000008128.23_6,CDK11A
ENSG00000008130.15_4,NADK
ENSG00000008196.13_4,TFAP2B
ENSG00000008197.4_4,TFAP2D
ENSG00000008226.20_4,DLEC1
ENSG00000008256.16_5,CYTH3
ENSG00000008277.14_2,ADAM22
ENSG00000008282.8_5,SYPL1
ENSG00000008283.16_5,CYB561
ENSG00000008294.21_6,SPAG9
ENSG00000008300.17_5,CELSR3
ENSG00000008311.15_4,AASS
ENSG00000008323.15_3,PLEKHG6
ENSG00000008324.11_2,SS18L2
ENSG00000008382.15_5,MPND
ENSG00000008394.13_7,MGST1
ENSG00000008405.12_5,CRY1
ENSG00000008438.5_4,PGLYRP1
ENSG00000008441.16_5,NFIX
ENSG00000008513.16_8,ST3GAL1
ENSG00000008516.17_3,MMP25
ENSG00000008517.16_5,IL32
ENSG00000008710.20_6,PKD1
ENSG00000008735.14_4,MAPK8IP2
ENSG00000008838.20_6,MED24
ENSG00000008853.16_2,RHOBTB2
ENSG00000008869.12_5,HEATR5B
ENSG00000008952.17_3,SEC62
ENSG00000008988.9_3,RPS20
ENSG00000009307.16_8,CSDE1
ENSG00000009335.18_4,UBE3C
ENSG00000009413.16_5,REV3L
ENSG00000009694.13_6,TENM1
ENSG00000009709.12_3,PAX7
ENSG00000009724.17_4,MASP2
ENSG00000009765.14_2,IYD
ENSG00000009780.15_4,FAM76A
ENSG00000009790.15_6,TRAF3IP3
ENSG00000009830.11_8,POMT2
ENSG00000009844.16_4,VTA1
ENSG00000009950.16_6,MLXIPL
ENSG00000009954.11_4,BAZ1B
ENSG00000010017.13_4,RANBP9
ENSG00000010030.14_5,ETV7
ENSG00000010072.16_4,SPRTN
ENSG00000010165.20_4,EEF1AKNMT
ENSG00000010219.13_5,DYRK4
ENSG00000010244.18_6,ZNF207
ENSG00000010256.11_4,UQCRC1
ENSG00000010270.13_3,STARD3NL
ENSG00000010278.14_5,CD9
ENSG00000010282.15_8,HHATL
ENSG00000010292.13_4,NCAPD2
ENSG00000010295.19_5,IFFO1
ENSG00000010310.9_5,GIPR
ENSG00000010318.21_4,PHF7
ENSG00000010319.7_5,SEMA3G
ENSG00000010322.16_5,NISCH
ENSG00000010327.10_3,STAB1
ENSG00000010361.14_6,FUZ
ENSG00000010379.16_5,SLC6A13
ENSG00000010404.18_5,IDS
ENSG00000010438.16_4,PRSS3
ENSG00000010539.11_6,ZNF200
ENSG00000010610.10_4,CD4
ENSG00000010626.15_5,LRRC23
ENSG00000010671.15_3,BTK
ENSG00000010704.18_4,HFE
ENSG00000010803.16_6,SCMH1
ENSG00000010810.17_8,FYN
ENSG00000010818.10_5,HIVEP2
ENSG00000010932.17_3,FMO1
ENSG00000011007.12_3,ELOA
ENSG00000011009.11_3,LYPLA2
ENSG00000011021.23_5,CLCN6
ENSG00000011028.14_4,MRC2
ENSG00000011052.21_3,NME1-NME2
ENSG00000011083.9_4,SLC6A7
ENSG00000011105.14_5,TSPAN9
ENSG00000011114.15_7,BTBD7
ENSG00000011132.12_7,APBA3
ENSG00000011143.17_6,MKS1
ENSG00000011198.10_8,ABHD5
ENSG00000011201.12_5,ANOS1
ENSG00000011243.18_6,AKAP8L
ENSG00000011258.16_5,MBTD1
ENSG00000011260.14_3,UTP18
ENSG00000011275.18_4,RNF216
ENSG00000011295.16_7,TTC19
ENSG00000011304.20_7,PTBP1
ENSG00000011332.19_6,DPF1
ENSG00000011347.10_7,SYT7
ENSG00000011376.12_8,LARS2
ENSG00000011405.13_4,PIK3C2A
ENSG00000011422.12_6,PLAUR
ENSG00000011426.11_7,ANLN
ENSG00000011451.20_8,WIZ
ENSG00000011454.17_4,RABGAP1
ENSG00000011465.17_6,DCN
ENSG00000011478.12_3,QPCTL
ENSG00000011485.15_3,PPP5C
ENSG00000011523.14_4,CEP68
ENSG00000011566.15_6,MAP4K3
ENSG00000011590.14_4,ZBTB32
ENSG00000011600.12_3,TYROBP
ENSG00000011638.10_3,TMEM159
ENSG00000011677.13_4,GABRA3
ENSG00000012048.23_7,BRCA1
ENSG00000012061.15_7,ERCC1
ENSG00000012124.17_4,CD22
ENSG00000012171.20_6,SEMA3B
ENSG00000012174.12_4,MBTPS2
ENSG00000012211.13_5,PRICKLE3
ENSG00000012223.13_5,LTF
ENSG00000012232.9_3,EXTL3
ENSG00000012504.15_6,NR1H4
ENSG00000012660.14_5,ELOVL5
ENSG00000012779.11_3,ALOX5
ENSG00000012817.15_8,KDM5D
ENSG00000012822.16_6,CALCOCO1
ENSG00000012963.15_4,UBR7
ENSG00000012983.11_5,MAP4K5
ENSG00000013016.16_4,EHD3
ENSG00000013275.8_3,PSMC4
ENSG00000013288.9_4,MAN2B2
ENSG00000013293.6_5,SLC7A14
ENSG00000013297.11_4,CLDN11
ENSG00000013306.16_7,SLC25A39
ENSG00000013364.19_4,MVP
ENSG00000013374.16_6,NUB1
ENSG00000013375.16_8,PGM3
ENSG00000013392.8_3,RWDD2A
ENSG00000013441.16_5,CLK1
ENSG00000013503.10_3,POLR3B
ENSG00000013523.10_6,ANGEL1
ENSG00000013561.18_7,RNF14
ENSG00000013563.14_6,DNASE1L1
ENSG00000013573.17_5,DDX11
ENSG00000013583.10_7,HEBP1
ENSG00000013588.8_6,GPRC5A
ENSG00000013619.14_7,MAMLD1
ENSG00000013725.14_5,CD6
